Anio,Trimestre,AnioTrimestre,Provincia,AccesoCada100Hogares,DiferenciaTrimestral,PorcientoTrimestral,Cumple2,BandAnchaFija,Dial_up,ADSL,Cablemodem,FibraOptica,Wireless,OtrosTipoConexion,totalServicios,Mbps(Media de bajada),Hasta512kbps,512Kbps_Menos1Mbps,1Mbps_Menos6Mbps,6Mbps_Menos10Mbps,10Mbps_Menos20Mbps,20Mbps_Menos30Mbps,30Mbps,OtrosMbps,Total_Mbps
2019,4,20194,Buenos Aires,64.25,-5.11,-7.95,0,4,5,720,2,669,87,18,1505,3.08,33.49,27.54,1177.45,262.297,247.106,452.57,1465.13,20.68,3686.25
2019,3,20193,Buenos Aires,69.36,1.51,2.18,1,4,10,1,2,425,86,27,555,2.57,238.92,44.65,1432.72,222.812,260.506,483.572,1246.21,42.29,3971.68
2019,2,20192,Buenos Aires,67.85,1.61,2.37,1,4,10,1,2,383,75,33,508,2.25,199.77,46.85,1436.26,217.785,438.663,502.275,985.77,43.44,3870.81
2019,1,20191,Buenos Aires,66.24,1.64,2.48,1,4,10,1,2,336,65,20,438,1.96,162.51,72.3,1429.96,202.511,576.428,576.859,705.77,6.37,3732.71
2018,4,20184,Buenos Aires,64.6,0.16,0.25,0,4,10,1,2,296,65,20,398,1.69,134.67,73.76,1422.46,194.426,577.679,949.093,265.39,19.13,3636.61
2018,3,20183,Buenos Aires,64.44,1.66,2.58,1,4,11,1,2,156,62,26,262,1.68,991,80.46,1445.73,190.805,636.09,897.964,237.25,120.46,4599.76
2018,2,20182,Buenos Aires,62.78,0.15,0.24,0,3,11,1,2,144,71,28,260,1.47,1.01,81.35,1459.44,295.457,816.056,536.049,199.59,113.36,3502.31
2018,1,20181,Buenos Aires,62.63,5.02,8.02,1,3,11,1,2,134,64,31,246,1.42,1.51,74.77,1445.75,292.732,886.678,480.237,184.2,105.82,3471.7
2017,4,20174,Buenos Aires,57.61,1.98,3.44,1,3,11,1,2,131,60,31,239,1.3,3.87,55.05,1551.19,264.645,712.513,335.14,151.75,114.18,3188.33
2017,3,20173,Buenos Aires,55.63,-0.64,-1.15,0,3,11,1,2,125,35,39,216,843,6.58,51.41,1733.48,311.652,676.137,140.812,108.4,0,3028.47
2017,2,20172,Buenos Aires,56.27,-2.3,-4.09,0,3,11,1,2,119,22,24,182,720,7.55,47.47,1910.16,299.009,573.298,93.059,46.18,0,2976.72
2017,1,20171,Buenos Aires,58.57,-2.67,-4.56,0,3,11,2,1,119,21,24,181,668,6.02,83.92,2057.7,402.315,523.54,90.937,22.3,0,3186.72
2016,4,20164,Buenos Aires,61.24,1.1,1.8,0,3,11,2,1,119,21,24,181,635,6.06,86.28,2085.61,403.575,467.398,72.348,17.28,0,3138.54
2016,3,20163,Buenos Aires,60.14,0.8,1.33,0,3,11,2,1,113,19,24,173,591,5.86,107.95,2148.48,393.53,399.116,52.9,13.32,0,3121.14
2016,2,20162,Buenos Aires,59.34,2,3.37,1,3,13,2,1,113,21,26,179,542,10.79,133.39,2250.9,335.296,334.723,31.494,11.93,0,3108.52
2016,1,20161,Buenos Aires,57.34,-0.95,-1.66,0,3,13,2,1,111,21,26,177,499,7.35,97.88,2214.76,289.929,247.372,8.315,9.53,0,2875.14
2015,4,20154,Buenos Aires,58.29,0.6,1.03,0,3,13,2,1,103,20,26,168,488,7.99,100.3,2253.2,274.56,240.188,3.835,8.18,0,2888.25
2015,3,20153,Buenos Aires,57.69,0.89,1.54,0,3,13,2,1,114,20,26,179,470,8.36,107.35,2266.95,262.564,200.491,2.642,7.72,0,2856.08
2015,2,20152,Buenos Aires,56.8,0.43,0.76,0,3,13,2,1,116,19,26,180,446,8.71,137.19,2299.71,243.503,159.922,2.01,6.71,0,2857.76
2015,1,20151,Buenos Aires,56.37,0.28,0.5,0,3,15,2,1,134,19,29,203,432,8.88,123.59,2267.85,220.07,126.958,1.561,5.7,0,2754.61
2014,4,20144,Buenos Aires,56.09,-0.66,-1.18,0,3,15,2,1,121,18,32,192,420,8.23,132.94,2250.45,203.62,104.322,997,5.41,0,3701.96
2014,3,20143,Buenos Aires,56.75,1.69,2.98,1,3,14,2,1,124,20,32,196,397,7.36,128.19,2281.52,156.693,68.947,243,4.23,0,2889.94
2014,2,20142,Buenos Aires,55.06,0.49,0.89,0,3,14,2,1,120,17,33,190,385,6.9,162.27,2288.77,140.226,56.549,284,4.31,0,2943.03
2014,1,20141,Buenos Aires,54.57,54.57,100,1,3,14,2,1,121,17,34,192,373,8.47,171.24,2279.88,121.787,38.923,206,4.04,0,2830.34
2022,4,20224,CÃ³rdoba,89.03,0.72,0.81,0,1,68,152,457,367,62,11,1118,10.88,99,9.93,143.69,108.195,63.12,20.691,686.33,17.61,1148.56
2022,3,20223,CÃ³rdoba,88.31,0.83,0.94,0,1,68,164,465,339,61,10,1108,5.63,99,11.31,153.32,111.615,70.989,27.112,650.34,13.87,1137.57
2022,2,20222,CÃ³rdoba,87.48,1.72,1.97,0,1,68,179,468,309,61,10,1096,5.35,99,11.97,160.49,120.485,71.923,28.645,619.4,13.43,1125.34
2022,1,20221,CÃ³rdoba,85.76,1.25,1.46,0,1,74,196,502,236,61,10,1080,4.99,100,12.78,165.92,126.009,73.967,34.892,577.03,13.1,1103.7
2021,4,20214,CÃ³rdoba,84.51,3.23,3.82,1,987,77,212,487,217,61,9,2050,4.64,100,2.48,184.55,130.892,76.246,41.198,538.7,12.61,1086.67
2021,3,20213,CÃ³rdoba,81.28,1.16,1.43,0,947,62,229,477,167,58,15,1955,4.19,99,2.45,204.99,141.285,65.05,47.198,476.46,9.26,1045.69
2021,2,20212,CÃ³rdoba,80.12,1.53,1.91,0,931,62,240,468,152,56,16,1925,3.96,99,2.45,201.76,136.516,66.95,70.824,442.36,9.93,1029.78
2021,1,20211,CÃ³rdoba,78.59,0.51,0.65,0,911,55,260,445,135,54,17,1877,3.62,93,2.39,211.8,135.092,74.659,71.984,402.19,12.68,1003.79
2020,4,20204,CÃ³rdoba,78.08,2.86,3.66,1,903,55,267,439,126,53,18,1861,3.51,119,2.39,214.96,135.262,82.221,70.013,384.17,13.57,1021.58
2020,3,20203,CÃ³rdoba,75.22,2.51,3.34,1,867,55,276,431,102,48,10,1789,3.35,168,3.06,218.6,124.833,84.236,63.823,361.02,11.73,1035.3
2020,2,20202,CÃ³rdoba,72.71,2.02,2.78,1,836,55,283,415,86,45,8,1728,3.1,168,4.38,219.03,125.932,89.53,63.216,325.24,8.97,1004.3
2020,1,20201,CÃ³rdoba,70.69,0.21,0.3,0,811,55,286,406,69,42,9,1678,2.94,142,5.13,217.23,120.188,95.827,65.733,296.88,9.8,952.78
2019,4,20194,CÃ³rdoba,70.48,1.89,2.68,1,807,55,297,410,53,38,9,1669,2.62,142,0,232.78,118.232,109.33,114.111,221.74,10.35,948.55
2019,3,20193,CÃ³rdoba,68.59,0.52,0.76,0,783,107,308,399,30,37,9,1673,2.32,83,5.82,240.15,106.651,118.486,146.247,157.55,7.35,865.26
2019,2,20192,CÃ³rdoba,68.07,2.55,3.75,1,775,105,315,388,23,34,15,1655,1.84,81,8.17,248.43,100.512,157.458,170.159,76.05,8.94,850.71
2019,1,20191,CÃ³rdoba,65.52,0.43,0.66,0,744,105,323,364,20,25,12,1593,1.57,81,20.4,242.77,96.997,200.681,127.965,50.72,6.81,827.34
2018,4,20184,CÃ³rdoba,65.09,0.85,1.31,0,737,105,329,356,18,22,13,1580,1.58,81,24.1,228.48,97.277,201.639,128.053,48.81,8.9,818.26
2018,3,20183,CÃ³rdoba,64.24,0.97,1.51,0,726,94,338,342,16,19,11,1546,1.48,81,24.77,224.47,96.372,221.984,109.333,39.85,6.49,804.27
2018,2,20182,CÃ³rdoba,63.27,-0.25,-0.4,0,713,94,345,328,14,16,10,1520,1.39,81,21.78,219.63,102.596,244.291,78.852,34.95,8.11,791.21
2018,1,20181,CÃ³rdoba,63.52,0.19,0.3,0,714,101,349,327,13,13,11,1528,1.28,281,23.92,222.82,104.3,266.259,57.137,29.23,10.05,994.71
2017,4,20174,CÃ³rdoba,63.33,1.02,1.61,0,710,105,350,325,13,12,11,1526,1.16,291,25.41,280.84,102.892,217.602,40.898,24.25,8.43,991.32
2017,3,20173,CÃ³rdoba,62.31,3.34,5.36,1,697,108,345,319,11,7,15,1502,912,327,26.15,309.16,100.113,189.302,38.131,16.74,0,1006.6
2017,2,20172,CÃ³rdoba,58.97,1.32,2.24,1,658,133,342,303,4,6,2,1448,742,251,26.86,370.87,88.479,146.683,20.351,5.07,0,909.31
2017,1,20171,CÃ³rdoba,57.65,-0.05,-0.09,0,641,133,336,293,5,6,1,1415,680,50,28.73,391.56,82.011,118.643,19.035,2.07,0,692.05
2016,4,20164,CÃ³rdoba,57.7,-0.54,-0.94,0,636,133,337,289,3,6,789,2193,647,50,29.38,404.65,77.966,108.368,15.458,1.61,0,687.42
2016,3,20163,CÃ³rdoba,58.24,0.69,1.18,0,642,133,348,285,3,6,395,1812,607,48,41.33,415.08,75.988,99.225,11.691,1.32,0,692.63
2016,2,20162,CÃ³rdoba,57.55,2.27,3.94,1,635,234,349,278,2,6,1,1505,552,258,57.05,437.55,71.98,82.618,8.355,1.24,0,916.79
2016,1,20161,CÃ³rdoba,55.28,-2.08,-3.76,0,610,234,351,252,674,6,386,2513,516,148,59.48,414.45,65.763,66.455,4.143,1.04,0,759.34
2015,4,20154,CÃ³rdoba,57.36,0.28,0.49,0,626,235,354,266,480,6,385,2352,507,148,63.75,427.47,62.989,67.151,3.336,1.09,0,773.78
2015,3,20153,CÃ³rdoba,57.08,1.21,2.12,1,623,237,352,264,1,5,389,1871,487,150,68.77,429.79,61.109,59.372,2.582,1.05,0,772.66
2015,2,20152,CÃ³rdoba,55.87,1.17,2.09,1,610,236,348,256,435,5,386,2276,456,156,72.7,434.72,54.993,46.415,1.956,903,0,1669.78
2015,1,20151,CÃ³rdoba,54.7,0,0,0,597,294,344,248,415,5,450,2353,430,157,78.43,432.8,46.574,37.443,1.615,815,0,1568.86
2014,4,20144,CÃ³rdoba,54.7,0.47,0.86,0,590,319,345,240,419,4,486,2403,409,1.9,85.36,427.84,41.947,30.858,1.177,782,0,1371.09
2014,3,20143,CÃ³rdoba,54.23,0.78,1.44,0,585,200,340,240,444,4,377,2190,366,660,98.99,435.69,28.992,18.888,84,664,0,1990.56
2014,2,20142,CÃ³rdoba,53.45,0.93,1.74,0,577,205,338,235,351,4,374,2084,356,2.11,101.6,429.54,28.698,14.824,76,627,0,1279.76
2014,1,20141,CÃ³rdoba,52.52,52.52,100,1,567,205,337,226,347,4,368,2054,339,2.08,107.71,423.11,24.112,9.818,40,588,0,1194.83
2022,4,20224,Capital Federal,122.73,0.45,0.37,0,2,2,139,1,139,5,32,320,18.29,516,5.1,31.32,64.653,36.336,8.116,1299.12,106.77,2067.41
2022,3,20223,Capital Federal,122.28,0.97,0.79,0,2,2,141,1,129,6,32,313,10.11,517,5.74,34.37,67.829,51.946,28.692,1253.11,105.48,2064.16
2022,2,20222,Capital Federal,121.31,9.51,7.84,1,2,2,145,1,122,6,32,310,9.4,517,5.98,36.04,72.434,55.372,31.571,1229.25,105.61,2053.25
2022,1,20221,Capital Federal,111.8,0.53,0.47,0,1,2,102,1,62,6,30,204,8.82,527,5.58,39.92,77.39,61.053,43.289,1188.07,1.72,1944.01
2021,4,20214,Capital Federal,111.27,0,0,0,1,2,111,1,60,6,30,211,8.3,563,1.7,47.13,81.899,66.135,66.755,1147.94,0,1974.56
2021,3,20213,Capital Federal,111.27,1.13,1.02,0,1,2,143,1,43,6,29,225,7.77,295,603,156.98,67.013,39.785,73.502,1075.23,0,2310.51
2021,2,20212,Capital Federal,110.14,1.72,1.56,0,1,2,149,1,41,6,29,229,7.28,294,603,157.56,73.568,43.859,86.655,1037.75,66,2362.39
2021,1,20211,Capital Federal,108.42,0.11,0.1,0,1,1,160,1,40,6,29,238,6.83,135,244,159.66,76.753,56.457,83.255,1003.04,126,1884.17
2020,4,20204,Capital Federal,108.31,0.63,0.58,0,1,1,163,1,40,5,29,240,6.73,135,244,160.21,78.123,60.208,80.269,1000.07,268,2025.88
2020,3,20203,Capital Federal,107.68,1.27,1.18,0,1,1,170,1,39,4,29,245,6.38,264,312,162.22,85.083,68.753,78.028,977.77,247,2194.85
2020,2,20202,Capital Federal,106.41,0.43,0.4,0,1,1,179,1,39,4,29,254,6.05,264,312,166.47,94.585,79.858,80.16,935.48,687,2619.56
2020,1,20201,Capital Federal,105.98,-0.27,-0.25,0,1,1,184,1,39,4,29,259,5.87,264,312,169.65,102.254,89.665,85.899,906.01,0,1929.48
2019,4,20194,Capital Federal,106.25,-6.4,-6.02,0,1,1,197,1,36,4,29,269,4.42,307,15,177.1,110.218,110.852,205.81,753.81,0,1679.78
2019,3,20193,Capital Federal,112.65,2.1,1.86,0,1,3,300,1,25,4,31,365,3.87,104,368,269.7,120.924,138.011,258.591,655.11,0,1914.34
2019,2,20192,Capital Federal,110.55,1.35,1.22,0,1,3,310,1,36,4,4,359,3.04,74,1.03,281.37,124.087,239.691,296.155,475.99,,1492.32
2019,1,20191,Capital Federal,109.2,0.93,0.85,0,1,3,328,1,32,4,4,373,2.47,74,7.42,283.79,131.007,330.122,365.713,283.46,0,1475.51
2018,4,20184,Capital Federal,108.27,-0.18,-0.17,0,1,3,328,1,33,4,4,374,2.29,74,7.39,283.28,143.309,330.496,437.662,186.81,0,1462.95
2018,3,20183,Capital Federal,108.45,1.92,1.77,0,1,7,334,1,36,4,9,392,2.16,73,8.49,287.92,147.253,370.677,415.02,165.06,0,1467.42
2018,2,20182,Capital Federal,106.53,0.29,0.27,0,1,7,342,978,36,4,9,1377,1.89,73,9.23,290.29,219.166,445.345,264.805,142.25,0,1444.09
2018,1,20181,Capital Federal,106.24,-16.66,-15.68,0,1,7,350,968,36,3,9,1374,1.78,89,10.04,292.57,222.737,487.826,227.953,127.38,0,1457.51
2017,4,20174,Capital Federal,122.9,1.04,0.85,0,2,7,571,962,36,3,10,1591,1.52,314,31.41,517.02,284.04,458.12,178.396,114.94,0,1897.92
2017,3,20173,Capital Federal,121.86,-2.2,-1.81,0,2,7,583,941,33,3,10,1579,1.06,283,33.92,590.69,311.411,426.3,120.675,91.92,0,1857.92
2017,2,20172,Capital Federal,124.06,15.69,12.65,1,2,8,615,932,39,3,11,1610,884,556,35.66,726.22,304.97,378.571,80.234,37.98,0,2119.64
2017,1,20171,Capital Federal,108.37,-12.26,-11.31,0,1,8,429,918,38,3,11,1408,835,510,1.41,678.92,218.487,277.195,66.536,19.88,0,1772.43
2016,4,20164,Capital Federal,120.63,-0.14,-0.12,0,1,8,435,915,38,3,11,1411,796,517,1.48,704.32,225.723,264.582,53.506,16.76,0,1783.37
2016,3,20163,Capital Federal,120.77,0.73,0.6,0,1,8,448,905,37,3,11,1413,738,331,995,759.03,208.249,240.856,38.341,13.89,0,2586.36
2016,2,20162,Capital Federal,120.04,4.88,4.07,1,1,10,451,892,37,2,13,1406,658,4.35,1.74,859.04,146.091,213.01,19.597,13.48,0,1257.3
2016,1,20161,Capital Federal,115.16,-2.97,-2.58,0,1,10,454,832,36,2,13,1348,605,2.31,43.69,869.05,178.665,192.644,6.577,10.84,0,1303.77
2015,4,20154,Capital Federal,118.13,-0.16,-0.14,0,1,10,455,880,20,2,13,1381,593,2.42,46.57,916.81,172.029,198.635,3.087,10.9,0,1350.45
2015,3,20153,Capital Federal,118.29,2.22,1.88,0,1,10,455,871,31,2,13,1383,566,2.45,49.34,942.53,159.618,175.594,2.028,10.02,0,1341.58
2015,2,20152,Capital Federal,116.07,1.17,1.01,0,1,10,453,858,20,2,13,1357,531,2.49,51.8,990.11,148.569,142.976,1.482,9.26,0,1346.69
2015,1,20151,Capital Federal,114.9,0,0,0,1,12,455,842,19,2,15,1346,500,2.55,59.08,1013.51,134.151,114.569,1.195,8.4,0,1333.46
2014,4,20144,Capital Federal,114.9,1.1,0.96,0,1,12,456,840,17,2,15,1343,478,2.7,62.9,1038.27,123.451,95.772,890,8,0,2221.08
2014,3,20143,Capital Federal,113.8,0.66,0.58,0,1,11,450,833,18,2,14,1329,444,840,78.02,1060.15,102.17,70.907,95,6.63,0,2252.86
2014,2,20142,Capital Federal,113.14,0.89,0.79,0,1,11,448,828,18,2,15,1323,425,847,81.43,1078.21,87.359,56.004,59,6.43,0,2215.43
2014,1,20141,Capital Federal,112.25,112.25,100,1,1,11,446,820,18,2,15,1313,402,852,88.83,1096.05,70.293,38.798,55,6.21,0,2207.18
2022,4,20224,Catamarca,65.77,0.44,0.67,0,71,1,9,11,47,1,2,142,8.33,71,315,2.72,5.028,4.638,3.122,52.74,2.28,456.52
2022,3,20223,Catamarca,65.33,2.93,4.48,1,70,1,10,10,46,1,2,140,6.1,71,384,3.11,5.389,5.099,3.737,50.3,2.21,524.84
2022,2,20222,Catamarca,62.4,4.19,6.71,1,67,1,12,9,42,1,2,134,5.66,71,413,3.68,6.155,7.165,3.393,43.93,2.21,550.52
2022,1,20221,Catamarca,58.21,2.96,5.09,1,62,1,14,16,29,1,2,125,5.12,71,456,4.39,7.009,8.773,3.761,35.72,2.21,588.85
2021,4,20214,Catamarca,55.25,2.54,4.6,1,59,1,16,14,25,2,2,119,4.64,71,0,6.04,7.855,9.804,3.262,29.83,2.23,130.02
2021,3,20213,Catamarca,52.71,0.37,0.7,0,56,1,18,12,22,2,2,113,4.34,71,0,6.76,8.428,10.517,1.659,26.62,2.21,127.18
2021,2,20212,Catamarca,52.34,3.44,6.57,1,56,1,20,9,22,1,2,111,4.22,71,0,7.22,9.091,6.828,4.941,25.39,2.21,126.67
2021,1,20211,Catamarca,48.9,-0.51,-1.04,0,52,1,26,4,19,322,2,426,4,71,0,7.42,8.455,10.115,712,23,2.2,834.19
2020,4,20204,Catamarca,49.41,2.25,4.55,1,52,1,27,5,18,322,2,427,3.77,71,0,8.84,8.74,11.436,591,20.41,2.31,713.73
2020,3,20203,Catamarca,47.16,1.73,3.67,1,50,1,27,4,17,261,2,362,3.65,63,0,8.28,8.768,11.195,562,18.89,2.15,674.28
2020,2,20202,Catamarca,45.43,7.81,17.19,1,48,1,27,4,15,261,2,358,3.49,63,0,8.8,8.69,10.242,426,16.58,3.18,536.49
2020,1,20201,Catamarca,37.62,1.18,3.14,1,40,1,22,3,12,261,2,341,2.91,63,0,8.84,7.543,9.558,408,10.3,2.15,509.39
2019,4,20194,Catamarca,36.44,5.56,15.26,1,38,1,23,3,10,261,2,338,2.49,63,0,9.95,7.619,9.305,804,7.48,3.1,904.44
2019,3,20193,Catamarca,30.88,-1.25,-4.05,0,32,9,24,6,13,244,2,330,929,34,43,14.45,9.285,6.333,72,15,2.15,196.22
2019,2,20192,Catamarca,32.13,-0.06,-0.19,0,34,9,26,6,13,146,2,236,881,34,43,16.63,8.67,6.049,34,10,2.15,154.5
2019,1,20191,Catamarca,32.19,-0.04,-0.12,0,34,9,27,4,16,0,2,92,796,34,1.71,18.76,6.443,5.606,29,7,2.15,104.67
2018,4,20184,Catamarca,32.23,-0.69,-2.14,0,34,9,27,4,16,0,2,92,804,34,1.67,17.96,6.425,5.461,29,7,2,103.51
2018,3,20183,Catamarca,32.92,0.06,0.18,0,34,11,28,4,15,1,2,95,781,34,1.99,18.48,6.358,5.32,34,7,2.15,109.3
2018,2,20182,Catamarca,32.86,0.07,0.21,0,34,11,27,4,15,1,2,94,769,34,2.41,14.62,6.112,4.347,36,6,6.5,110
2018,1,20181,Catamarca,32.79,4.17,12.72,1,34,11,27,4,15,1,2,94,820,34,2.9,14.77,6.145,3.539,41,4,6.5,112.85
2017,4,20174,Catamarca,28.62,-3.87,-13.52,0,30,10,27,263,11,1,2,344,778,34,3.18,15.32,5.904,2.927,43,2,2.15,108.48
2017,3,20173,Catamarca,32.49,6.51,20.04,1,33,11,27,4,12,1,2,90,526,52,3.2,15.38,5.758,2.563,50,1,0,129.91
2017,2,20172,Catamarca,25.98,0.32,1.23,0,27,13,26,255,14,1,34,370,510,15,3.32,15.66,5.325,2.342,47,1,0,89.64
2017,1,20171,Catamarca,25.66,-0.88,-3.43,0,26,13,26,248,14,1,34,362,497,15,3.33,15.86,4.901,2.161,49,0,0,90.25
2016,4,20164,Catamarca,26.54,0.06,0.23,0,27,13,27,250,14,1,34,366,489,15,3.48,16.52,4.889,2.077,54,0,0,95.96
2016,3,20163,Catamarca,26.48,0.41,1.55,0,27,13,27,248,14,1,18,348,473,15,4.04,16.18,4.845,1.853,50,0,0,91.92
2016,2,20162,Catamarca,26.07,0.16,0.61,0,27,13,26,245,14,1,34,360,436,15,5.74,14.74,4.567,1.496,47,1,0,89.54
2016,1,20161,Catamarca,25.91,-0.33,-1.27,0,26,13,26,243,15,1,34,358,420,15,6.1,14.65,4.241,1.334,42,1,0,84.33
2015,4,20154,Catamarca,26.24,0.38,1.45,0,26,13,26,242,15,1,34,357,412,15,6.51,14.48,4.106,1.313,39,1,0,81.42
2015,3,20153,Catamarca,25.86,0.41,1.59,0,26,13,26,242,15,1,34,357,388,15,6.87,14.21,4.143,812,43,1,0,896.22
2015,2,20152,Catamarca,25.45,0.34,1.34,0,26,13,25,242,15,1,34,356,368,15,7.25,14,3.776,593,37,1,0,671.03
2015,1,20151,Catamarca,25.11,-0.4,-1.59,0,25,20,25,241,16,1,41,369,348,13,7.63,13.75,3.202,517,9,1,0,564.59
2014,4,20144,Catamarca,25.51,0.8,3.14,1,25,21,25,241,16,0,44,372,334,21,8.05,14.09,2.91,421,0,1,0,468.05
2014,3,20143,Catamarca,24.71,0.01,0.04,0,25,21,24,244,15,0,47,376,292,19,8.85,13.79,1.915,111,0,0,0,154.55
2014,2,20142,Catamarca,24.7,0.45,1.82,0,25,23,24,243,17,0,43,375,292,19,8.84,13.79,1.915,111,0,0,0,154.55
2014,1,20141,Catamarca,24.25,24.25,100,1,24,23,24,46,17,0,43,177,280,19,9.15,13.33,1.672,64,0,0,0,107.15
2022,4,20224,Chaco,43.62,-0.24,-0.55,0,144,5,25,61,47,8,3,293,10.4,461,771,16.07,17.846,6.704,3.039,94.87,3.91,1374.43
2022,3,20223,Chaco,43.86,0.07,0.16,0,144,5,27,62,45,8,2,293,5.32,461,987,16.78,18.938,8.049,15.828,79.39,3.71,1590.7
2022,2,20222,Chaco,43.79,-0.27,-0.62,0,144,5,30,61,42,8,2,292,5.06,461,1.05,17.6,20.109,8.391,15.974,76.27,3.71,604.1
2022,1,20221,Chaco,44.06,0.01,0.02,0,144,5,32,65,37,8,2,293,4.58,461,1.1,16.89,21.235,20.898,13.012,62.95,7.58,604.66
2021,4,20214,Chaco,44.05,1.09,2.47,1,144,5,36,63,35,8,2,293,4.23,461,112,18.85,22.678,21.937,13.692,58.44,7.59,716.17
2021,3,20213,Chaco,42.96,-0.37,-0.86,0,140,3,38,64,28,8,2,283,3.91,301,112,22.55,20.986,23.852,14.412,49.71,7.96,552.46
2021,2,20212,Chaco,43.33,0.19,0.44,0,141,3,40,63,28,8,2,285,3.74,301,112,23.44,21.574,24.032,16.069,47.24,7.96,553.32
2021,1,20211,Chaco,43.14,0.11,0.25,0,140,3,43,61,25,8,2,282,3.36,301,112,24.36,22.102,27.556,14.496,42.46,8.38,552.36
2020,4,20204,Chaco,43.03,1.49,3.46,1,139,3,44,61,24,8,2,281,3.25,301,112,24.78,22.479,26.802,15.701,40.95,7.97,551.68
2020,3,20203,Chaco,41.54,1.71,4.12,1,134,3,46,59,21,7,2,272,3.08,308,112,24.68,21.639,27.546,13.751,38.73,7.19,553.53
2020,2,20202,Chaco,39.83,2.35,5.9,1,128,3,47,56,17,6,2,259,2.8,308,928,24.35,21.14,29.044,12.082,33.31,6.97,1362.9
2020,1,20201,Chaco,37.48,0.64,1.71,0,120,3,46,54,12,6,2,243,2.59,308,928,23.29,19.976,29.851,10.416,28.54,6.92,1354.99
2019,4,20194,Chaco,36.84,0.99,2.69,1,118,3,49,54,9,5,2,240,2.34,83,0,25.9,18.959,30.902,13.516,21.56,6.99,200.82
2019,3,20193,Chaco,35.85,1.71,4.77,1,114,13,50,49,8,5,2,241,2,69,1.22,32.76,28.198,13.336,12.987,16.74,6.92,181.16
2019,2,20192,Chaco,34.14,1.5,4.39,1,109,13,51,47,4,5,2,231,1.6,69,1.38,38.49,26.431,16.789,15.348,9.9,1.49,178.84
2019,1,20191,Chaco,32.64,0.05,0.15,0,104,13,53,44,2,4,1,221,1.34,69,3.8,38.72,25.632,18.965,12.393,6.37,1.04,175.91
2018,4,20184,Chaco,32.59,0.31,0.95,0,103,13,53,44,2,3,1,219,1.35,69,3.41,36.44,25.633,18.965,12.393,6.37,0,172.2
2018,3,20183,Chaco,32.28,1.03,3.19,1,102,12,54,42,2,3,1,216,1.29,70,3.5,38.73,24.916,20.335,11.085,5.67,1.04,175.27
2018,2,20182,Chaco,31.25,0.42,1.34,0,99,12,54,41,562,2,1,771,1.25,70,2.97,34.17,24.282,21.887,9.251,4.63,1.04,168.22
2018,1,20181,Chaco,30.83,0.02,0.06,0,97,12,55,40,383,388,1,976,1.24,70,3.26,32.52,24.488,23.296,8.219,3.9,1.04,166.71
2017,4,20174,Chaco,30.81,0.83,2.69,1,97,12,55,40,389,380,1,974,1.17,70,3.43,37.14,24.088,20.123,7.29,3.29,1.04,166.4
2017,3,20173,Chaco,29.98,0.93,3.1,1,94,12,55,37,456,36,1,691,848,95,3.5,40.06,23.008,20.307,3.827,2,0,187.7
2017,2,20172,Chaco,29.05,0.43,1.48,0,91,14,54,36,458,52,39,744,769,191,3.73,42.59,22.349,18.044,3.157,545,0,825.87
2017,1,20171,Chaco,28.62,-0.17,-0.59,0,89,14,54,34,252,52,39,534,731,191,3.84,44.54,21.467,15.671,3.025,314,0,593.54
2016,4,20164,Chaco,28.79,-0.12,-0.42,0,89,14,55,34,248,52,39,531,708,191,3.98,45.63,21.323,14.887,2.586,250,0,529.41
2016,3,20163,Chaco,28.91,0.32,1.11,0,89,14,56,33,232,2,15,441,672,190,5.23,46.82,21.193,13.746,2.022,217,0,496.01
2016,2,20162,Chaco,28.59,0.51,1.78,0,88,16,56,32,221,52,41,506,630,197,8.06,45.82,20.346,12.09,1.571,201,0,485.89
2016,1,20161,Chaco,28.08,-0.27,-0.96,0,87,16,56,30,211,52,41,493,599,194,8.76,46.3,19.388,10.587,1.238,184,0,464.27
2015,4,20154,Chaco,28.35,0.39,1.38,0,87,16,57,29,186,52,41,468,583,194,9.59,46.77,18.608,10.092,1.136,159,0,439.2
2015,3,20153,Chaco,27.96,0.5,1.79,0,85,16,56,29,186,52,41,465,547,240,10.35,47.13,19.016,7.498,979,157,0,1460
2015,2,20152,Chaco,27.46,0.81,2.95,1,84,16,56,28,179,52,41,456,519,288,11.06,47.55,17.675,6.337,788,149,0,1307.62
2015,1,20151,Chaco,26.65,4.78,17.94,1,81,31,55,26,164,27,56,440,490,26,12.05,47.43,15.883,5.346,489,135,0,730.71
2014,4,20144,Chaco,21.87,0.76,3.48,1,66,37,55,11,31,0,62,262,398,483,12.84,42.11,7.908,2.6,124,2,0,674.45
2014,3,20143,Chaco,21.11,0.15,0.71,0,64,36,53,10,29,1,59,252,346,398,14.73,41.93,5.428,1.274,5,0,0,466.37
2014,2,20142,Chaco,20.96,0.24,1.15,0,63,36,53,10,30,0,58,250,342,412,14.85,41.53,5.418,1.085,5,0,0,479.89
2014,1,20141,Chaco,20.72,20.72,100,1,63,36,53,9,30,0,58,249,326,438,15.85,40.87,4.644,741,5,0,0,1245.36
2022,4,20224,Chubut,85.57,1.19,1.39,0,168,904,45,74,10,31,9,1241,1.59,109,1.61,46.46,31.007,34.728,15.77,19.05,20.03,277.65
