Anio,Trimestre,AnioTrimestre,Provincia,AccesoCada100Hogares,DiferenciaTrimestral,PorcientoTrimestral,Cumple2,BandAnchaFija,Dial_up,ADSL,Cablemodem,FibraOptica,Wireless,OtrosTipoConexion,totalServicios,Mbps(Media de bajada),Hasta512kbps,512Kbps_Menos1Mbps,1Mbps_Menos6Mbps,6Mbps_Menos10Mbps,10Mbps_Menos20Mbps,20Mbps_Menos30Mbps,30Mbps,OtrosMbps,Total_Mbps
2018,1,20181,TucumÃ¡n,41.18,1.28,3.11,1,168,31,159,9,107,368,50,892,936,16,7.47,78.81,45.675,26.405,1.218,7.08,1.31,183.97
2017,4,20174,TucumÃ¡n,39.9,0.2,0.5,0,162,34,157,5,105,102,319,884,911,105,8.16,78.75,45.241,24.318,1.303,4.37,0,267.14
2017,3,20173,TucumÃ¡n,39.7,1.51,3.8,1,161,33,154,6,106,40,305,805,639,109,8.95,83.07,45.302,20.514,1.361,655,0,923.2
2017,2,20172,TucumÃ¡n,38.19,0.29,0.76,0,154,37,149,5,116,14,45,520,609,96,9.24,83.34,42.536,17.788,1.371,21,0,271.27
2017,1,20171,TucumÃ¡n,37.9,-0.08,-0.21,0,153,37,147,5,116,14,45,517,588,96,9.68,86.47,39.155,15.951,1.383,13,0,261.64
2016,4,20164,TucumÃ¡n,37.98,0.08,0.21,0,152,37,147,4,116,14,45,515,573,96,10.02,87.99,37.721,14.389,1.4,10,0,257.53
2016,3,20163,TucumÃ¡n,37.9,0.66,1.74,0,151,37,147,4,116,53,41,549,554,127,12.25,87.97,36.518,13.15,1.288,4,0,282.17
2016,2,20162,TucumÃ¡n,37.24,0.52,1.4,0,149,41,145,3,116,58,49,561,520,231,18.52,83.95,33.891,11.31,1.032,2,0,381.69
2016,1,20161,TucumÃ¡n,36.72,-0.34,-0.93,0,147,41,144,2,116,74,49,573,500,106,20.09,84.01,31.49,10.046,871,0,0,1122.64
2015,4,20154,TucumÃ¡n,37.06,0.45,1.21,0,146,42,144,2,116,88,50,588,488,107,21.8,83.89,29.942,9.507,837,0,0,1089.14
2015,3,20153,TucumÃ¡n,36.61,0.92,2.51,1,144,42,143,1,116,88,50,584,457,107,23.69,83.65,29.998,6.232,623,0,0,873.57
2015,2,20152,TucumÃ¡n,35.69,0.61,1.71,0,141,42,140,479,116,88,50,1056,431,107,25.18,83.46,26.966,4.502,455,0,0,702.11
2015,1,20151,TucumÃ¡n,35.08,-0.24,-0.68,0,138,92,138,115,116,88,100,787,407,107,27.14,83.9,23.061,3.722,334,0,0,578.82
2014,4,20144,TucumÃ¡n,35.32,1.38,3.91,1,137,95,137,97,116,13,105,700,386,17,28.75,85.09,20.631,2.733,196,0,0,350.2
2014,3,20143,TucumÃ¡n,33.94,0,0,0,132,88,132,97,117,13,100,679,335,6,32.72,84.67,14.101,559,4,0,0,700.49
2014,2,20142,TucumÃ¡n,33.94,0.52,1.53,0,132,88,132,97,121,13,98,681,335,6,32.71,84.68,14.101,559,4,0,0,700.49
2014,1,20141,TucumÃ¡n,33.42,33.42,100,1,130,88,130,83,121,13,98,663,321,6,34.67,83.21,11.779,362,3,0,0,500.66
